出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/04/11","115/3","5478","智冠","文化創意業","646243","699063","543271","-7.555828301597996","18.95407632654789","1929977","1611709","19.747237249404204","因IFRS15，MyCard屬代理性質營收採淨額，若總額本期為33.67億，較上期減少8.73%，較去年同期增加53.03%"
"115/04/11","115/3","5481","新華","其他","6857","6583","8029","4.162236062585447","-14.5970855648275","21998","24245","-9.267890286657043","-"
"115/04/11","115/3","5483","中美晶","半導體業","7371903","6112750","6751498","20.59879759519038","9.189145875478301","19381793","19373248","0.044107214236869315","-"
"115/04/11","115/3","5487","通泰","半導體業","16357","9692","16201","68.76805612876599","0.9629035244737979","37314","44200","-15.57918552036199","-"
"115/04/11","115/3","5488","松普","電子零組件業","88157","41702","73387","111.39753489041293","20.12618038617194","236688","192559","22.91713189204348","-"
"115/04/11","115/3","5489","彩富","其他電子業","165443","117305","122544","41.03661395507438","35.00701788745267","398411","354179","12.48860039697441","-"
"115/04/11","115/3","5490","同亨","電腦及週邊設備業","139530","157385","157929","-11.344791435016043","-11.650171912694946","440875","421123","4.690316130916621","-"
"115/04/11","115/3","5493","三聯","其他電子業","582608","431172","464366","35.121946694126706","25.463104533923673","1471667","1256785","17.09775339457425","-"
"115/04/11","115/3","5498","凱崴","電子零組件業","161423","140483","109318","14.905718129595751","47.66369673795715","447662","301080","48.685399229440684","-"
"115/04/11","115/3","5508","永信建","建材營造","360005","251712","535847","43.02258136282736","-32.81571045466337","740017","909710","-18.65352694814831","-"
"115/04/11","115/3","5511","德昌","建材營造","879053","773430","755775","13.656439496787039","16.311468360292416","2405631","1888455","27.38619665281937","-"
"115/04/11","115/3","5512","力麒","建材營造","850169","377639","918513","125.12743652006282","-7.440722123693404","1682025","1703296","-1.2488140640264522","-"
"115/04/11","115/3","5514","三豐","建材營造","529395","103596","482","411.0187652032897","109732.98755186722","666499","1445","46024.49826989619","本月營收及本年累計營收因三豐AIT完工認列收入，致使本月營收及本年累計營收較去年同期增加。"
"115/04/11","115/3","5516","雙喜","建材營造","178625","241159","148544","-25.930610095414227","20.250565489013358","564397","383710","47.089468609105836","-"
"115/04/11","115/3","5520","力泰","建材營造","304345","236488","364301","28.69363350360272","-16.457819220918964","908125","957440","-5.150714405080214","-"
"115/04/11","115/3","5523","豐謙","建材營造","373","375","374","-0.5333333333333333","-0.26737967914438504","1137","1133","0.353045013239188","本月營收僅認列租賃收入所致。"
"115/04/11","115/3","5529","鉅陞","建材營造","3904","99825","4625","-96.08915602304032","-15.58918918918919","312567","14718","2023.7056665307787","增減百分比達50％之原因：主係因認列交屋收入"
